ID_REF,VALUE,Ratio,Flagged?,INV_VALUE
YLR127C,0.01802,0.95935,FALSE,-0.01802
YDR118W,-0.02493,1.05908,FALSE,0.02493
YOR249C,0.00119,0.99726,FALSE,-0.00119
YLR102C,-0.14742,1.40416,FALSE,0.14742
YBR151W,-0.10638,1.27757,FALSE,0.10638
YKL157W,-0.26534,1.84221,FALSE,0.26534
YBR286W,-0.07379,1.18519,FALSE,0.07379
YGL180W,0.00978,0.97773,FALSE,-0.00978
YLL042C,-0.04647,1.11294,FALSE,0.04647
YBR217W,0.06853,0.85402,FALSE,-0.06853
YPR185W,0.04444,0.90273,FALSE,-0.04444
YBR128C,-0.01746,1.04102,FALSE,0.01746
YMR159C,-0.16087,1.44832,FALSE,0.16087
YLR423C,-0.1447,1.39541,FALSE,0.1447
YNL242W,-0.14757,1.40466,FALSE,0.14757
YPL149W,-0.07171,1.17953,FALSE,0.07171
YHR171W,0.07589,0.83967,FALSE,-0.07589
YDL149W,-0.04987,1.12168,FALSE,0.04987
YJR005W,-0.12804,1.3429,FALSE,0.12804
YKL135C,-0.09098,1.23305,FALSE,0.09098
YBL037W,-0.10119,1.26237,FALSE,0.10119
YPR029C,-0.09769,1.25225,FALSE,0.09769
YPL195W,0.06498,0.86103,FALSE,-0.06498
YGR261C,-0.18519,1.53176,FALSE,0.18519
YPL259C,-0.0523,1.12799,FALSE,0.0523
YHL019C,-0.13901,1.37723,FALSE,0.13901
YBR288C,0.03418,0.92432,FALSE,-0.03418
YOL062C,-0.16443,1.46025,FALSE,0.16443
YKL114C,0.07771,0.83616,FALSE,-0.07771
YBL019W,-0.04647,1.11294,FALSE,0.04647
YLR170C,0.12423,0.75122,FALSE,-0.12423
YJR058C,-0.045,1.10917,FALSE,0.045
YJL024C,0.00989,0.97749,FALSE,-0.00989
YML022W,0.11231,0.77214,FALSE,-0.11231
YDR441C,-0.00017,1.00038,FALSE,0.00017
YNL065W,0.30641,0.49384,FALSE,-0.30641
YPR192W,-0.10511,1.27383,FALSE,0.10511
YLL052C,0.05236,0.88641,TRUE,-0.05236
YBR149W,-0.47741,3.00201,FALSE,0.47741
YGL105W,-0.04949,1.12071,FALSE,0.04949
YIL062C,-0.15565,1.43103,FALSE,0.15565
YLR370C,-0.22769,1.68925,FALSE,0.22769
YKL013C,-0.25338,1.79219,FALSE,0.25338
YNR035C,-0.16245,1.45363,FALSE,0.16245
YBR234C,-0.13803,1.37415,FALSE,0.13803
YHR013C,-0.00148,1.00341,FALSE,0.00148
YCR048W,0.21164,0.61427,FALSE,-0.21164
YNR019W,0.1442,0.71746,FALSE,-0.1442
YDL192W,0.10279,0.78924,FALSE,-0.10279
YDL137W,0.08747,0.81758,FALSE,-0.08747
YOR094W,0.12623,0.74777,TRUE,-0.12623
YOL058W,-0.28165,1.91273,FALSE,0.28165
YJL071W,-0.14411,1.39351,FALSE,0.14411
YJL088W,-0.1782,1.50729,FALSE,0.1782
YHR018C,-0.48803,3.07627,FALSE,0.48803
YER069W,-0.19703,1.57409,FALSE,0.19703
YOL140W,-0.02108,1.04973,FALSE,0.02108
YMR042W,-0.14076,1.38279,FALSE,0.14076
YML099C,-0.02937,1.06996,FALSE,0.02937
YDR173C,-0.2583,1.8126,FALSE,0.2583
YDR376W,-0.0238,1.05632,FALSE,0.0238
YNL020C,0.07647,0.83856,FALSE,-0.07647
YBR164C,0.02602,0.94184,FALSE,-0.02602
YPL051W,-0.0151,1.03538,TRUE,0.0151
YHL040C,0.06431,0.86235,FALSE,-0.06431
YDR127W,-0.22266,1.66977,FALSE,0.22266
YDR380W,-0.49763,3.14505,FALSE,0.49763
YGL148W,0.13118,0.7393,FALSE,-0.13118
